host_ts,dev_ms,adc
1789786985.653,351558,0
1789786985.663,351569,0
1789786985.674,351579,0
1789786985.685,351590,0
1789786985.695,351600,0
1789786985.706,351611,0
1789786985.716,351621,0
1789786985.726,351632,0
1789786985.737,351642,0
1789786985.748,351653,0
1789786985.758,351664,0
1789786985.769,351674,0
1789786985.779,351685,0
1789786985.790,351695,0
1789786985.800,351706,0
1789786985.811,351716,0
1789786985.821,351727,0
1789786985.832,351737,0
1789786985.881,351748,0
1789786985.881,351758,0
1789786985.881,351769,0
1789786985.881,351779,0
1789786985.886,351790,0
1789786985.895,351800,0
1789786985.905,351811,0
1789786985.916,351821,0
1789786985.927,351832,0
1789786985.937,351843,0
1789786985.948,351853,0
1789786985.958,351864,0
1789786985.969,351874,0
1789786985.979,351885,0
1789786985.990,351895,0
1789786986.000,351906,0
1789786986.011,351916,0
1789786986.021,351927,0
1789786986.032,351937,0
1789786986.043,351948,0
1789786986.053,351958,0
1789786986.063,351969,0
1789786986.074,351979,0
1789786986.085,351990,0
1789786986.095,352000,0
1789786986.106,352011,0
1789786986.116,352021,0
1789786986.127,352032,0
1789786986.137,352043,0
1789786986.148,352053,0
1789786986.158,352064,0
1789786986.189,352074,0
1789786986.189,352085,0
1789786986.190,352095,0
1789786986.201,352106,0
1789786986.211,352116,0
1789786986.221,352127,0
1789786986.232,352137,0
1789786986.243,352148,0
1789786986.253,352158,0
1789786986.263,352169,0
1789786986.274,352179,0
1789786986.285,352190,0
1789786986.295,352200,0
1789786986.306,352211,0
1789786986.316,352222,0
1789786986.327,352232,0
1789786986.338,352243,0
1789786986.348,352253,0
1789786986.358,352264,0
1789786986.369,352274,0
1789786986.381,352285,0
1789786986.390,352295,0
1789786986.400,352306,0
1789786986.411,352316,0
1789786986.422,352327,0
1789786986.432,352337,0
1789786986.443,352348,0
1789786986.453,352358,0
1789786986.463,352369,0
1789786986.474,352379,0
1789786986.495,352390,0
1789786986.495,352400,0
1789786986.516,352411,0
1789786986.517,352422,0
1789786986.527,352432,0
1789786986.537,352443,0
1789786986.548,352453,0
1789786986.558,352464,0
1789786986.569,352474,0
1789786986.579,352485,0
1789786986.590,352495,0
1789786986.600,352506,0
1789786986.611,352516,0
1789786986.622,352527,0
1789786986.632,352537,0
1789786986.642,352548,0
1789786986.653,352558,0
1789786986.664,352569,0
1789786986.674,352579,0
1789786986.685,352590,0
1789786986.695,352601,0
1789786986.706,352611,0
1789786986.716,352622,0
1789786986.727,352632,0
1789786986.737,352643,0
1789786986.748,352653,0
1789786986.758,352664,0
1789786986.769,352674,0
1789786986.779,352685,0
1789786986.790,352695,0
1789786986.830,352706,0
1789786986.830,352716,0
1789786986.832,352727,0
1789786986.832,352737,0
1789786986.843,352748,0
1789786986.853,352758,0
1789786986.863,352769,0
1789786986.874,352780,0
1789786986.885,352790,0
1789786986.895,352801,0
1789786986.906,352811,0
1789786986.916,352822,0
1789786986.927,352832,0
1789786986.937,352843,0
1789786986.948,352853,0
1789786986.958,352864,0
1789786986.969,352874,0
1789786986.979,352885,0
1789786986.990,352895,0
1789786987.000,352906,0
1789786987.011,352916,0
1789786987.022,352927,0
1789786987.032,352937,0
1789786987.043,352948,0
1789786987.053,352958,0
1789786987.064,352969,0
1789786987.074,352980,0
1789786987.085,352990,0
1789786987.095,353001,0
1789786987.128,353011,0
1789786987.128,353022,0
1789786987.128,353032,0
1789786987.145,353043,0
1789786987.149,353053,0
1789786987.158,353064,0
1789786987.169,353074,0
1789786987.179,353085,0
1789786987.190,353095,0
1789786987.200,353106,0
1789786987.211,353116,0
1789786987.222,353127,0
1789786987.232,353137,0
1789786987.243,353148,0
1789786987.253,353159,0
1789786987.264,353169,0
1789786987.274,353180,0
1789786987.285,353190,0
1789786987.296,353201,0
1789786987.306,353211,0
1789786987.316,353222,0
1789786987.327,353232,0
1789786987.337,353243,0
1789786987.348,353253,0
1789786987.358,353264,0
1789786987.369,353274,0
1789786987.381,353285,0
1789786987.390,353295,0
1789786987.401,353306,0
1789786987.411,353316,0
1789786987.461,353327,0
1789786987.461,353338,0
1789786987.462,353348,0
1789786987.462,353359,0
1789786987.465,353369,0
1789786987.474,353380,0
1789786987.485,353390,0
1789786987.495,353401,0
1789786987.506,353411,0
1789786987.516,353422,0
1789786987.527,353432,0
1789786987.537,353443,0
1789786987.548,353453,0
1789786987.563,353464,0
1789786987.569,353474,0
1789786987.580,353485,0
1789786987.590,353495,0
1789786987.601,353506,0
1789786987.611,353516,0
1789786987.622,353527,0
1789786987.632,353538,0
1789786987.643,353548,0
1789786987.654,353559,0
1789786987.664,353569,0
1789786987.675,353580,0
1789786987.685,353590,0
1789786987.695,353601,0
1789786987.706,353611,0
1789786987.716,353622,0
1789786987.727,353632,0
1789786987.770,353643,0
1789786987.770,353653,0
1789786987.770,353664,0
1789786987.770,353674,0
1789786987.780,353685,0
1789786987.790,353695,0
1789786987.800,353706,0
1789786987.811,353717,0
1789786987.822,353727,0
1789786987.832,353738,0
1789786987.843,353748,0
1789786987.853,353759,0
1789786987.864,353769,0
1789786987.875,353780,0
1789786987.890,353790,0
1789786987.895,353801,0
1789786987.906,353811,0
1789786987.916,353822,0
1789786987.927,353832,0
1789786987.937,353843,0
1789786987.948,353853,0
1789786987.958,353864,0
1789786987.969,353874,0
1789786987.980,353885,0
1789786987.990,353896,0
1789786988.001,353906,0
1789786988.011,353917,0
1789786988.022,353927,0
1789786988.032,353938,0
1789786988.043,353948,0
1789786988.091,353959,0
1789786988.091,353969,0
1789786988.091,353980,0
1789786988.091,353990,0
1789786988.100,354001,0
1789786988.107,354011,0
1789786988.116,354022,0
1789786988.127,354032,0
1789786988.137,354043,0
1789786988.148,354053,0
1789786988.158,354064,0
1789786988.169,354074,0
1789786988.180,354085,0
1789786988.190,354096,0
1789786988.200,354106,0
1789786988.211,354117,0
1789786988.222,354127,0
1789786988.232,354138,0
1789786988.243,354148,0
1789786988.253,354159,0
1789786988.264,354169,0
1789786988.274,354180,0
1789786988.285,354190,0
1789786988.296,354201,0
1789786988.306,354211,0
1789786988.316,354222,0
1789786988.327,354232,0
1789786988.337,354243,0
1789786988.348,354253,0
1789786988.358,354264,0
1789786988.369,354275,0
1789786988.411,354285,0
1789786988.411,354296,0
1789786988.411,354306,0
1789786988.411,354317,0
1789786988.422,354327,0
1789786988.432,354338,0
1789786988.443,354348,0
1789786988.453,354359,0
1789786988.464,354369,0
1789786988.474,354380,0
1789786988.485,354390,0
1789786988.495,354401,0
1789786988.506,354411,0
1789786988.516,354422,0
1789786988.527,354432,0
1789786988.538,354443,0
1789786988.548,354453,0
1789786988.558,354464,0
1789786988.569,354475,0
1789786988.580,354485,0
1789786988.590,354496,0
1789786988.601,354506,0
1789786988.611,354517,0
1789786988.622,354527,0
1789786988.632,354538,0
1789786988.643,354548,0
1789786988.653,354559,0
1789786988.664,354569,0
1789786988.674,354580,0
1789786988.685,354590,0
1789786988.725,354601,0
1789786988.726,354611,0
1789786988.726,354622,0
1789786988.727,354632,0
1789786988.737,354643,0
1789786988.748,354654,0
1789786988.759,354664,0
1789786988.769,354675,0
1789786988.780,354685,0
1789786988.790,354696,0
1789786988.801,354706,0
1789786988.811,354717,0
1789786988.822,354727,0
1789786988.832,354738,0
1789786988.843,354748,0
1789786988.853,354759,0
1789786988.864,354769,0
1789786988.874,354780,0
1789786988.885,354790,0
1789786988.895,354801,0
1789786988.906,354811,0
1789786988.916,354822,0
1789786988.927,354833,0
1789786988.938,354843,0
1789786988.948,354854,0
1789786988.959,354864,0
1789786988.969,354875,0
1789786988.980,354885,0
1789786988.990,354896,0
1789786989.026,354906,0
1789786989.027,354917,0
1789786989.027,354927,0
1789786989.041,354938,0
1789786989.043,354948,0
1789786989.054,354959,0
1789786989.064,354969,0
1789786989.074,354980,0
1789786989.085,354990,0
1789786989.095,355001,0
1789786989.106,355011,0
1789786989.116,355022,0
1789786989.127,355033,0
1789786989.138,355043,0
1789786989.148,355054,0
1789786989.159,355064,0
1789786989.169,355075,0
1789786989.180,355085,0
1789786989.190,355096,0
1789786989.201,355106,0
1789786989.211,355117,0
1789786989.222,355127,0
1789786989.232,355138,0
1789786989.243,355148,0
1789786989.253,355159,0
1789786989.264,355169,0
1789786989.274,355180,0
1789786989.285,355190,0
1789786989.296,355201,0
1789786989.306,355212,0
1789786989.316,355222,0
1789786989.358,355233,0
1789786989.358,355243,0
1789786989.358,355254,0
1789786989.359,355264,0
1789786989.370,355275,0
1789786989.380,355285,0
1789786989.390,355296,0
1789786989.401,355306,0
1789786989.411,355317,0
1789786989.422,355327,0
1789786989.432,355338,0
1789786989.443,355348,0
1789786989.453,355359,0
1789786989.464,355369,0
1789786989.474,355380,0
1789786989.485,355391,0
1789786989.496,355401,0
1789786989.506,355412,0
1789786989.517,355422,0
1789786989.527,355433,0
1789786989.538,355443,0
1789786989.548,355454,0
1789786989.559,355464,0
1789786989.569,355475,0
1789786989.580,355485,0
1789786989.590,355496,0
1789786989.601,355506,0
1789786989.611,355517,0
1789786989.624,355527,0
1789786989.657,355538,0
1789786989.672,355548,0
1789786989.672,355559,0
1789786989.672,355569,0
1789786989.676,355580,0
1789786989.685,355591,0
1789786989.695,355601,0
1789786989.706,355612,0
1789786989.717,355622,0
1789786989.727,355633,0
1789786989.738,355643,0
1789786989.748,355654,0
1789786989.759,355664,0
1789786989.769,355675,0
1789786989.780,355685,0
1789786989.790,355696,0
1789786989.801,355706,0
1789786989.811,355717,0
1789786989.822,355727,0
1789786989.833,355738,0
1789786989.843,355748,0
1789786989.853,355759,0
1789786989.868,355770,0
1789786989.875,355780,0
1789786989.885,355791,0
1789786989.897,355801,0
1789786989.906,355812,0
1789786989.917,355822,0
1789786989.927,355833,0
1789786989.938,355843,0
1789786989.948,355854,0
1789786989.972,355864,0
1789786989.996,355875,0
1789786989.997,355885,0
1789786989.997,355896,0
1789786990.002,355906,0
1789786990.011,355917,0
1789786990.022,355927,0
1789786990.032,355938,0
1789786990.043,355949,0
1789786990.054,355959,0
1789786990.064,355970,0
1789786990.074,355980,0
1789786990.085,355991,0
1789786990.096,356001,0
1789786990.106,356012,0
1789786990.117,356022,0
1789786990.127,356033,0
1789786990.138,356043,0
1789786990.148,356054,0
1789786990.159,356064,0
1789786990.169,356075,0
1789786990.180,356085,0
1789786990.190,356096,0
1789786990.201,356106,0
1789786990.211,356117,0
1789786990.222,356127,0
1789786990.232,356138,0
1789786990.243,356149,0
1789786990.254,356159,0
1789786990.264,356170,0
1789786990.307,356180,0
1789786990.307,356191,0
1789786990.307,356201,0
1789786990.308,356212,0
1789786990.317,356222,0
1789786990.328,356233,0
1789786990.338,356243,0
1789786990.348,356254,0
1789786990.359,356264,0
1789786990.369,356275,0
1789786990.380,356285,0
1789786990.390,356296,0
1789786990.401,356306,0
1789786990.412,356317,0
1789786990.422,356328,0
1789786990.433,356338,0
1789786990.443,356349,0
1789786990.454,356359,0
1789786990.464,356370,0
1789786990.475,356380,0
1789786990.485,356391,0
1789786990.496,356401,0
1789786990.506,356412,0
1789786990.517,356422,0
1789786990.527,356433,0
1789786990.538,356443,0
1789786990.549,356454,0
1789786990.559,356464,0
1789786990.570,356475,0
1789786990.580,356485,0
1789786990.590,356496,0
1789786990.633,356507,0
1789786990.634,356517,0
1789786990.634,356528,0
1789786990.634,356538,0
1789786990.643,356549,0
1789786990.654,356559,0
1789786990.664,356570,0
1789786990.675,356580,0
1789786990.685,356591,0
1789786990.696,356601,0
1789786990.706,356612,0
1789786990.717,356622,0
1789786990.727,356633,0
1789786990.738,356643,0
1789786990.748,356654,0
1789786990.759,356664,0
1789786990.769,356675,0
1789786990.780,356685,0
1789786990.790,356696,0
1789786990.801,356707,0
1789786990.812,356717,0
1789786990.822,356728,0
1789786990.833,356738,0
1789786990.844,356750,0
1789786990.855,356760,0
1789786990.865,356771,0
1789786990.876,356781,0
1789786990.886,356792,0
1789786990.897,356802,0
1789786990.907,356813,0
1789786990.954,356823,0
1789786990.955,356834,0
1789786990.955,356844,0
1789786990.955,356855,0
1789786990.961,356865,0
1789786990.970,356876,0
1789786990.981,356886,0
1789786990.992,356897,0
1789786991.002,356908,0
1789786991.013,356918,0
1789786991.023,356929,0
1789786991.034,356939,0
1789786991.044,356950,0
1789786991.055,356960,0
1789786991.065,356971,0
1789786991.076,356981,0
1789786991.086,356992,0
1789786991.097,357002,0
1789786991.107,357013,0
1789786991.118,357023,0
1789786991.128,357034,0
1789786991.139,357044,0
1789786991.150,357055,0
1789786991.160,357065,0
1789786991.171,357076,0
1789786991.181,357086,0
1789786991.191,357097,0
1789786991.202,357108,0
1789786991.212,357118,0
1789786991.223,357129,0
1789786991.257,357139,0
1789786991.257,357150,0
1789786991.258,357160,0
1789786991.267,357171,0
1789786991.276,357181,0
1789786991.286,357192,0
1789786991.297,357202,0
1789786991.307,357213,0
1789786991.318,357223,0
1789786991.328,357234,0
1789786991.339,357244,0
1789786991.349,357255,0
1789786991.360,357265,0
1789786991.371,357276,0
1789786991.381,357287,0
1789786991.391,357297,0
1789786991.402,357308,0
1789786991.413,357318,0
1789786991.425,357329,0
1789786991.433,357339,0
1789786991.444,357350,0
1789786991.455,357360,0
1789786991.465,357371,0
1789786991.476,357381,0
1789786991.486,357392,0
1789786991.497,357402,0
1789786991.507,357413,0
1789786991.518,357423,0
1789786991.529,357434,0
1789786991.539,357444,0
1789786991.582,357455,0
1789786991.582,357466,0
1789786991.583,357476,0
1789786991.583,357487,0
1789786991.593,357497,0
1789786991.602,357508,0
1789786991.613,357518,0
1789786991.623,357529,0
1789786991.634,357539,0
1789786991.644,357550,0
1789786991.655,357560,0
1789786991.665,357571,0
1789786991.676,357581,0
1789786991.686,357592,0
1789786991.697,357602,0
1789786991.707,357613,0
1789786991.718,357623,0
1789786991.729,357634,0
1789786991.739,357644,0
1789786991.750,357655,0
1789786991.760,357666,0
1789786991.771,357676,0
1789786991.781,357687,0
1789786991.792,357697,0
1789786991.802,357708,0
1789786991.813,357718,0
1789786991.823,357729,0
1789786991.834,357739,0
1789786991.844,357750,0
1789786991.892,357760,0
1789786991.892,357771,0
1789786991.892,357781,0
1789786991.892,357792,0
1789786991.898,357802,0
1789786991.907,357813,0
1789786991.918,357823,0
1789786991.928,357834,0
1789786991.939,357845,0
1789786991.949,357855,0
1789786991.960,357866,0
1789786991.970,357876,0
1789786991.981,357887,0
1789786991.992,357897,0
1789786992.002,357908,0
1789786992.013,357918,0
1789786992.024,357929,0
1789786992.035,357939,0
1789786992.045,357950,0
1789786992.055,357960,0
1789786992.066,357971,0
1789786992.076,357981,0
1789786992.086,357992,0
1789786992.097,358002,0
1789786992.107,358013,0
1789786992.118,358024,0
1789786992.129,358034,0
1789786992.139,358045,0
1789786992.149,358055,0
1789786992.160,358066,0
1789786992.193,358076,0
1789786992.193,358087,0
1789786992.193,358097,0
1789786992.203,358108,0
1789786992.213,358118,0
1789786992.223,358129,0
1789786992.234,358139,0
1789786992.244,358150,0
1789786992.255,358160,0
1789786992.265,358171,0
1789786992.276,358181,0
1789786992.286,358192,0
1789786992.297,358202,0
1789786992.307,358213,0
1789786992.318,358224,0
1789786992.329,358234,0
1789786992.339,358245,0
1789786992.350,358255,0
1789786992.360,358266,0
1789786992.371,358276,0
1789786992.381,358287,0
1789786992.392,358297,0
1789786992.405,358308,0
1789786992.413,358318,0
1789786992.423,358329,0
1789786992.434,358339,0
1789786992.444,358350,0
1789786992.455,358360,0
1789786992.465,358371,0
1789786992.476,358381,0
1789786992.518,358392,0
1789786992.519,358403,0
1789786992.519,358413,0
1789786992.519,358424,0
1789786992.530,358434,0
1789786992.539,358445,0
1789786992.550,358455,0
1789786992.560,358466,0
1789786992.571,358476,0
1789786992.581,358487,0
1789786992.592,358497,0
1789786992.602,358508,0
1789786992.613,358518,0
1789786992.624,358529,0
1789786992.634,358539,0
1789786992.644,358550,0
1789786992.655,358560,0
1789786992.665,358571,0
1789786992.676,358582,0
1789786992.686,358592,0
1789786992.697,358603,0
1789786992.707,358613,0
1789786992.718,358624,0
1789786992.729,358634,0
1789786992.739,358645,0
1789786992.750,358655,0
1789786992.760,358666,0
1789786992.771,358676,0
1789786992.781,358687,0
1789786992.792,358697,0
1789786992.836,358708,0
1789786992.836,358718,0
1789786992.836,358729,0
1789786992.836,358739,0
1789786992.845,358750,0
1789786992.855,358760,0
1789786992.866,358771,0
1789786992.876,358782,0
1789786992.886,358792,0
1789786992.897,358803,0
1789786992.907,358813,0
1789786992.918,358824,0
1789786992.929,358834,0
1789786992.939,358845,0
1789786992.950,358855,0
1789786992.960,358866,0
1789786992.971,358876,0
1789786992.981,358887,0
1789786992.992,358897,0
1789786993.008,358908,0
1789786993.013,358918,0
1789786993.023,358929,0
1789786993.034,358939,0
1789786993.046,358950,0
1789786993.055,358961,0
1789786993.066,358971,0
1789786993.076,358982,0
1789786993.087,358992,0
1789786993.097,359003,0
1789786993.108,359013,0
1789786993.142,359024,0
1789786993.142,359034,0
1789786993.142,359045,0
1789786993.152,359055,0
1789786993.161,359066,0
1789786993.171,359076,0
1789786993.181,359087,0
1789786993.192,359097,0
1789786993.202,359108,0
1789786993.213,359118,0
1789786993.223,359129,0
1789786993.234,359140,0
1789786993.245,359150,0
1789786993.255,359161,0
1789786993.266,359171,0
1789786993.276,359182,0
1789786993.287,359192,0
1789786993.297,359203,0
1789786993.308,359213,0
1789786993.318,359224,0
1789786993.329,359234,0
1789786993.339,359245,0
1789786993.350,359255,0
1789786993.360,359266,0
1789786993.371,359276,0
1789786993.381,359287,0
1789786993.392,359297,0
1789786993.403,359308,0
1789786993.413,359318,0
1789786993.423,359329,0
1789786993.467,359340,0
1789786993.467,359350,0
1789786993.468,359361,0
1789786993.468,359371,0
1789786993.476,359382,0
1789786993.486,359392,0
1789786993.497,359403,0
1789786993.508,359413,0
1789786993.518,359424,0
1789786993.529,359434,0
1789786993.539,359445,0
1789786993.550,359455,0
1789786993.560,359466,0
1789786993.571,359476,0
1789786993.581,359487,0
1789786993.592,359497,0
1789786993.602,359508,0
1789786993.613,359519,0
1789786993.623,359529,0
1789786993.635,359540,0
1789786993.644,359550,0
1789786993.655,359561,0
1789786993.666,359571,0
1789786993.676,359582,0
1789786993.687,359592,0
1789786993.697,359603,0
1789786993.708,359613,0
1789786993.718,359624,0
1789786993.729,359634,0
1789786993.739,359645,0
1789786993.784,359655,0
1789786993.784,359666,0
1789786993.784,359676,0
1789786993.784,359687,0
1789786993.792,359698,0
1789786993.802,359708,0
1789786993.813,359719,0
1789786993.824,359729,0
1789786993.834,359740,0
1789786993.845,359750,0
1789786993.855,359761,0
1789786993.866,359771,0
1789786993.876,359782,0
1789786993.887,359792,0
1789786993.897,359803,0
1789786993.908,359813,0
1789786993.918,359824,0
1789786993.929,359834,0
1789786993.939,359845,0
1789786993.950,359855,0
1789786993.960,359866,0
1789786993.971,359876,0
1789786993.981,359887,0
1789786993.992,359898,0
1789786994.003,359908,0
1789786994.013,359919,0
